plan_id,status,output_visible_cycles,final_ack_cycles,quiescent_cycles,payload_router_byte_hops,full_protocol_flit_hops,dependency_only_DAG_ticks
p0188,valid,2475.5555555555557,2586.5555555555557,2602.5555555555557,161792,6248,52436
p0189,valid,2742.4444444444443,2853.4444444444443,2869.4444444444443,161792,6248,54576
p0190,valid,2507.5555555555557,2618.5555555555557,2634.5555555555557,161792,6248,52436
p0191,valid,2774.4444444444443,2885.4444444444443,2901.4444444444443,161792,6248,54576
p0192,valid,2292.0,2421.0,2437.0,59392,3048,46604
p0193,valid,2568.777777777778,2697.777777777778,2713.777777777778,59392,3048,48744
p0194,valid,2324.0,2453.0,2469.0,59392,3048,46604
p0195,valid,2600.777777777778,2729.777777777778,2745.777777777778,59392,3048,48744
p0196,valid,2356.0,2485.0,2501.0,59392,3048,46604
p0197,valid,2632.777777777778,2761.777777777778,2777.777777777778,59392,3048,48744
p0198,valid,2308.6666666666665,2419.6666666666665,2435.6666666666665,63488,3176,47252
p0199,valid,2548.222222222222,2659.222222222222,2675.222222222222,63488,3176,49392
p0200,valid,2340.6666666666665,2451.6666666666665,2467.6666666666665,63488,3176,47252
p0201,valid,2580.222222222222,2691.222222222222,2707.222222222222,63488,3176,49392
p0202,valid,2372.6666666666665,2483.6666666666665,2499.6666666666665,63488,3176,47252
p0203,valid,2612.222222222222,2723.222222222222,2739.222222222222,63488,3176,49392
p0204,valid,2339.777777777778,2468.777777777778,2484.777777777778,108544,4584,51788
p0205,valid,2596.4444444444443,2725.4444444444443,2741.4444444444443,108544,4584,53928
p0206,valid,2340.1111111111113,2469.1111111111113,2485.1111111111113,108544,4584,51788
p0207,valid,2596.777777777778,2725.777777777778,2741.777777777778,108544,4584,53928
p0208,valid,2338.777777777778,2467.777777777778,2483.777777777778,108544,4584,51788
p0209,valid,2597.777777777778,2726.777777777778,2742.777777777778,108544,4584,53928
p0210,valid,2357.777777777778,2468.777777777778,2484.777777777778,112640,4712,52436
p0211,valid,2615.777777777778,2726.777777777778,2742.777777777778,112640,4712,54576
p0212,valid,2358.1111111111113,2469.1111111111113,2485.1111111111113,112640,4712,52436
p0213,valid,2616.1111111111113,2727.1111111111113,2743.1111111111113,112640,4712,54576
p0214,valid,2356.777777777778,2467.777777777778,2483.777777777778,112640,4712,52436
p0215,valid,2617.1111111111113,2728.1111111111113,2744.1111111111113,112640,4712,54576
p0216,valid,2280.777777777778,2409.777777777778,2425.777777777778,108544,4584,46604
p0217,valid,2538.777777777778,2667.777777777778,2683.777777777778,108544,4584,48744
p0218,valid,2312.777777777778,2441.777777777778,2457.777777777778,108544,4584,46604
p0219,valid,2570.777777777778,2699.777777777778,2715.777777777778,108544,4584,48744
p0220,valid,2344.777777777778,2473.777777777778,2489.777777777778,108544,4584,46604
p0221,valid,2602.777777777778,2731.777777777778,2747.777777777778,108544,4584,48744
p0222,valid,2298.777777777778,2409.777777777778,2425.777777777778,112640,4712,47252
p0223,valid,2555.4444444444443,2666.4444444444443,2682.4444444444443,112640,4712,49392
p0224,valid,2330.777777777778,2441.777777777778,2457.777777777778,112640,4712,47252
p0225,valid,2587.4444444444443,2698.4444444444443,2714.4444444444443,112640,4712,49392
p0226,valid,2362.777777777778,2473.777777777778,2489.777777777778,112640,4712,47252
p0227,valid,2619.4444444444443,2730.4444444444443,2746.4444444444443,112640,4712,49392
p0228,valid,2425.5555555555557,2554.5555555555557,2570.5555555555557,157696,6120,51788
p0229,valid,2692.4444444444443,2821.4444444444443,2837.4444444444443,157696,6120,53928
p0230,valid,2457.5555555555557,2586.5555555555557,2602.5555555555557,157696,6120,51788
p0231,valid,2724.4444444444443,2853.4444444444443,2869.4444444444443,157696,6120,53928
p0232,valid,2489.5555555555557,2618.5555555555557,2634.5555555555557,157696,6120,51788
p0233,valid,2756.4444444444443,2885.4444444444443,2901.4444444444443,157696,6120,53928
p0234,valid,2443.5555555555557,2554.5555555555557,2570.5555555555557,161792,6248,52436
p0235,valid,2710.4444444444443,2821.4444444444443,2837.4444444444443,161792,6248,54576
p0236,valid,2475.5555555555557,2586.5555555555557,2602.5555555555557,161792,6248,52436
p0237,valid,2742.4444444444443,2853.4444444444443,2869.4444444444443,161792,6248,54576
p0238,valid,2507.5555555555557,2618.5555555555557,2634.5555555555557,161792,6248,52436
p0239,valid,2774.4444444444443,2885.4444444444443,2901.4444444444443,161792,6248,54576
p0240,valid,2505.777777777778,2634.777777777778,2650.777777777778,75776,3584,46604
p0241,valid,2676.777777777778,2805.777777777778,2821.777777777778,75776,3584,48744
p0242,valid,2566.6666666666665,2686.6666666666665,2702.6666666666665,75776,3584,46604
p0243,valid,2652.222222222222,2772.222222222222,2788.222222222222,75776,3584,48744
p0244,valid,2566.6666666666665,2686.6666666666665,2702.6666666666665,75776,3584,46604
p0245,valid,2652.222222222222,2772.222222222222,2788.222222222222,75776,3584,48744
p0246,valid,2521.1111111111113,2632.1111111111113,2648.1111111111113,79872,3712,47252
p0247,valid,2656.222222222222,2767.222222222222,2783.222222222222,79872,3712,49392
p0248,valid,2583.3333333333335,2703.3333333333335,2719.3333333333335,79872,3712,47252
p0249,valid,2670.222222222222,2790.222222222222,2806.222222222222,79872,3712,49392
p0250,valid,2583.3333333333335,2703.3333333333335,2719.3333333333335,79872,3712,47252
p0251,valid,2670.222222222222,2790.222222222222,2806.222222222222,79872,3712,49392
p0252,valid,2339.777777777778,2468.777777777778,2484.777777777778,124928,5120,51788
p0253,valid,2596.4444444444443,2725.4444444444443,2741.4444444444443,124928,5120,53928
p0254,valid,2370.777777777778,2499.777777777778,2515.777777777778,124928,5120,51788
p0255,valid,2596.777777777778,2725.777777777778,2741.777777777778,124928,5120,53928
p0256,valid,2402.777777777778,2531.777777777778,2547.777777777778,124928,5120,51788
p0257,valid,2597.777777777778,2726.777777777778,2742.777777777778,124928,5120,53928
p0258,valid,2357.777777777778,2468.777777777778,2484.777777777778,129024,5248,52436
p0259,valid,2615.777777777778,2726.777777777778,2742.777777777778,129024,5248,54576
p0260,valid,2372.1111111111113,2483.1111111111113,2499.1111111111113,129024,5248,52436
p0261,valid,2616.1111111111113,2727.1111111111113,2743.1111111111113,129024,5248,54576
p0262,valid,2404.1111111111113,2515.1111111111113,2531.1111111111113,129024,5248,52436
p0263,valid,2617.1111111111113,2728.1111111111113,2744.1111111111113,129024,5248,54576
p0264,valid,2384.777777777778,2504.777777777778,2520.777777777778,116736,4864,46604
p0265,valid,2642.777777777778,2762.777777777778,2778.777777777778,116736,4864,48744
p0266,valid,2384.777777777778,2504.777777777778,2520.777777777778,116736,4864,46604
p0267,valid,2642.777777777778,2762.777777777778,2778.777777777778,116736,4864,48744
p0268,valid,2384.777777777778,2504.777777777778,2520.777777777778,116736,4864,46604
p0269,valid,2642.777777777778,2762.777777777778,2778.777777777778,116736,4864,48744
p0270,valid,2402.777777777778,2522.777777777778,2538.777777777778,120832,4992,47252
p0271,valid,2659.4444444444443,2779.4444444444443,2795.4444444444443,120832,4992,49392
p0272,valid,2402.777777777778,2522.777777777778,2538.777777777778,120832,4992,47252
p0273,valid,2659.4444444444443,2779.4444444444443,2795.4444444444443,120832,4992,49392
p0274,valid,2402.777777777778,2522.777777777778,2538.777777777778,120832,4992,47252
p0275,valid,2659.4444444444443,2779.4444444444443,2795.4444444444443,120832,4992,49392
p0276,valid,2500.5555555555557,2629.5555555555557,2645.5555555555557,165888,6400,51788
p0277,valid,2773.5555555555557,2902.5555555555557,2918.5555555555557,165888,6400,53928
p0278,valid,2500.5555555555557,2629.5555555555557,2645.5555555555557,165888,6400,51788
p0279,valid,2773.5555555555557,2902.5555555555557,2918.5555555555557,165888,6400,53928
p0280,valid,2500.777777777778,2629.777777777778,2645.777777777778,165888,6400,51788
p0281,valid,2772.6666666666665,2901.6666666666665,2917.6666666666665,165888,6400,53928
p0282,valid,2501.8888888888887,2612.8888888888887,2628.8888888888887,169984,6528,52436
p0283,valid,2773.5555555555557,2884.5555555555557,2900.5555555555557,169984,6528,54576
p0284,valid,2501.8888888888887,2612.8888888888887,2628.8888888888887,169984,6528,52436
p0285,valid,2773.5555555555557,2884.5555555555557,2900.5555555555557,169984,6528,54576
p0286,valid,2502.1111111111113,2613.1111111111113,2629.1111111111113,169984,6528,52436
p0287,valid,2772.6666666666665,2883.6666666666665,2899.6666666666665,169984,6528,54576
p0288,valid,2526.4444444444443,2637.4444444444443,2653.4444444444443,124928,5120,52760
p0289,valid,2635.777777777778,2746.777777777778,2762.777777777778,124928,5120,54900
p0290,valid,2558.777777777778,2669.777777777778,2685.777777777778,124928,5120,53912
p0291,valid,2668.222222222222,2779.222222222222,2795.222222222222,124928,5120,56052
p0292,valid,2725.8888888888887,2836.8888888888887,2852.8888888888887,124928,5120,55064
p0293,valid,2699.1111111111113,2810.1111111111113,2826.1111111111113,124928,5120,57204
p0294,valid,2508.4444444444443,2637.4444444444443,2653.4444444444443,112640,4736,52112
p0295,valid,2617.1111111111113,2746.1111111111113,2762.1111111111113,112640,4736,54252
p0296,valid,2540.777777777778,2669.777777777778,2685.777777777778,112640,4736,53264
p0297,valid,2650.222222222222,2779.222222222222,2795.222222222222,112640,4736,55404
p0298,valid,2707.8888888888887,2836.8888888888887,2852.8888888888887,112640,4736,54416
p0299,valid,2681.1111111111113,2810.1111111111113,2826.1111111111113,112640,4736,56556
p0300,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,75776,3584,46928
p0301,valid,2739.777777777778,2850.777777777778,2866.777777777778,75776,3584,49068
p0302,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,75776,3584,48080
p0303,valid,2739.777777777778,2850.777777777778,2866.777777777778,75776,3584,50220
p0304,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,75776,3584,49232
p0305,valid,2739.777777777778,2850.777777777778,2866.777777777778,75776,3584,51372
p0306,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,63488,3200,46280
p0307,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,63488,3200,48420
p0308,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,63488,3200,47432
p0309,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,63488,3200,49572
p0310,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,63488,3200,48584
p0311,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,63488,3200,50724
p0312,valid,2525.0,2636.0,2652.0,182272,6912,52760
p0313,valid,2783.0,2894.0,2910.0,182272,6912,54900
p0314,valid,2525.0,2636.0,2652.0,182272,6912,53912
p0315,valid,2783.0,2894.0,2910.0,182272,6912,56052
p0316,valid,2525.0,2636.0,2652.0,182272,6912,55064
p0317,valid,2783.0,2894.0,2910.0,182272,6912,57204
p0318,valid,2507.0,2636.0,2652.0,169984,6528,52112
p0319,valid,2763.6666666666665,2892.6666666666665,2908.6666666666665,169984,6528,54252
p0320,valid,2507.0,2636.0,2652.0,169984,6528,53264
p0321,valid,2763.6666666666665,2892.6666666666665,2908.6666666666665,169984,6528,55404
p0322,valid,2507.0,2636.0,2652.0,169984,6528,54416
p0323,valid,2763.6666666666665,2892.6666666666665,2908.6666666666665,169984,6528,56556
p0324,valid,2536.6666666666665,2647.6666666666665,2663.6666666666665,133120,5376,46928
p0325,valid,2631.3333333333335,2742.3333333333335,2758.3333333333335,133120,5376,49068
p0326,valid,2536.6666666666665,2647.6666666666665,2663.6666666666665,133120,5376,48080
p0327,valid,2631.3333333333335,2742.3333333333335,2758.3333333333335,133120,5376,50220
p0328,valid,2536.6666666666665,2647.6666666666665,2663.6666666666665,133120,5376,49232
p0329,valid,2631.3333333333335,2742.3333333333335,2758.3333333333335,133120,5376,51372
p0330,valid,2518.6666666666665,2647.6666666666665,2663.6666666666665,120832,4992,46280
p0331,valid,2613.3333333333335,2742.3333333333335,2758.3333333333335,120832,4992,48420
p0332,valid,2518.6666666666665,2647.6666666666665,2663.6666666666665,120832,4992,47432
p0333,valid,2613.3333333333335,2742.3333333333335,2758.3333333333335,120832,4992,49572
p0334,valid,2518.6666666666665,2647.6666666666665,2663.6666666666665,120832,4992,48584
p0335,valid,2613.3333333333335,2742.3333333333335,2758.3333333333335,120832,4992,50724
p0336,valid,2526.1111111111113,2637.1111111111113,2653.1111111111113,124928,5120,52760
p0337,valid,2635.777777777778,2746.777777777778,2762.777777777778,124928,5120,54900
p0338,valid,2558.777777777778,2669.777777777778,2685.777777777778,124928,5120,53912
p0339,valid,2667.1111111111113,2778.1111111111113,2794.1111111111113,124928,5120,56052
p0340,valid,2725.8888888888887,2836.8888888888887,2852.8888888888887,124928,5120,55064
p0341,valid,2699.1111111111113,2810.1111111111113,2826.1111111111113,124928,5120,57204
p0342,valid,2508.1111111111113,2637.1111111111113,2653.1111111111113,112640,4736,52112
p0343,valid,2617.1111111111113,2746.1111111111113,2762.1111111111113,112640,4736,54252
p0344,valid,2540.777777777778,2669.777777777778,2685.777777777778,112640,4736,53264
p0345,valid,2649.1111111111113,2778.1111111111113,2794.1111111111113,112640,4736,55404
p0346,valid,2707.8888888888887,2836.8888888888887,2852.8888888888887,112640,4736,54416
p0347,valid,2681.1111111111113,2810.1111111111113,2826.1111111111113,112640,4736,56556
p0348,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,75776,3584,46928
p0349,valid,2739.777777777778,2850.777777777778,2866.777777777778,75776,3584,49068
p0350,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,75776,3584,48080
p0351,valid,2739.777777777778,2850.777777777778,2866.777777777778,75776,3584,50220
p0352,valid,2358.4444444444443,2469.4444444444443,2485.4444444444443,75776,3584,49232
p0353,valid,2739.777777777778,2850.777777777778,2866.777777777778,75776,3584,51372
p0354,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,63488,3200,46280
p0355,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,63488,3200,48420
p0356,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,63488,3200,47432
p0357,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,63488,3200,49572
p0358,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,63488,3200,48584
p0359,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,63488,3200,50724
p0360,valid,2525.0,2636.0,2652.0,182272,6912,52760
p0361,valid,2783.0,2894.0,2910.0,182272,6912,54900
p0362,valid,2525.0,2636.0,2652.0,182272,6912,53912
p0363,valid,2783.0,2894.0,2910.0,182272,6912,56052
p0364,valid,2525.0,2636.0,2652.0,182272,6912,55064
p0365,valid,2783.0,2894.0,2910.0,182272,6912,57204
p0366,valid,2507.0,2636.0,2652.0,169984,6528,52112
p0367,valid,2763.6666666666665,2892.6666666666665,2908.6666666666665,169984,6528,54252
p0368,valid,2507.0,2636.0,2652.0,169984,6528,53264
p0369,valid,2763.6666666666665,2892.6666666666665,2908.6666666666665,169984,6528,55404
p0370,valid,2507.0,2636.0,2652.0,169984,6528,54416
