config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high,tasks,sram_high_water_bytes,search_unique,search_budget_exhausted
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,B8,32,14547.707390219788,17619.641720626656,-5.509466435662661,-5.799448736582544,-5.219484134742778,30,196032,152,True
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,H2,32,14421.164914724313,17450.12719819035,-4.592078357931241,-4.851829156767002,-4.3323275590954795,30,196032,152,True
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,S8,32,17312.46856008402,21079.56891822291,-3.6910643340993357,-3.8459787436561186,-3.5361499245425527,30,196032,152,True
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,S,32,16704.577710716938,20471.56891822291,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,B0,32,17312.46856008402,21079.56891822291,-3.6910643340993357,-3.8459787436561186,-3.5361499245425527,30,196032,152,True
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,B2,32,17348.46856008402,21115.56891822291,-3.9096515227996798,-4.073732549866603,-3.7455704957327565,30,196032,152,True
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,B8,32,17456.46856008402,21223.56891822291,-4.565413088900713,-4.756994125712408,-4.373832052089018,30,196032,152,True
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,H2,32,17348.46856008402,21115.56891822291,-3.9096515227996798,-4.073732549866603,-3.7455704957327565,30,196032,152,True
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,S8,32,6199.973176370239,7103.971866729302,-0.09841781737513863,-0.12649957138070614,-0.07033606336957113,30,196032,152,True
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,S,32,6193.796194375326,7093.436155867912,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,B0,32,6195.324181923381,7094.471866729302,-0.024746503687279195,-0.028066507480959617,-0.021426499893598773,30,196032,152,True
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,B2,32,6233.427502320621,7130.471866729302,-0.64426911998082,-0.6665056454909692,-0.6220325944706708,30,196032,152,True
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,B8,32,6348.41845062452,7238.471866729302,-2.5137757333033575,-2.6029064264436093,-2.4246450401631057,30,196032,152,True
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,H2,32,6233.427502320621,7130.471866729302,-0.64426911998082,-0.6665056454909692,-0.6220325944706708,30,196032,152,True
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,S8,32,11726.680564398996,13607.598969851811,-9.856938547887379e-16,-3.3222845593870393e-15,1.3508968498095634e-15,30,196032,152,True
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,S,32,11726.680564398996,13607.598969851811,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,B0,32,11728.680564398996,13609.598969851811,-0.01717748038841052,-0.017687302399018928,-0.016667658377802114,30,196032,152,True
