config,seeds,tasks,A_mean,A_p95,A2_mean,A2_p95,B_mean,B_p95,C_mean,C_p95,B_paired_reduction_pct,B_normal95_low,B_normal95_high,B_wins,B_losses,C_paired_reduction_pct,C_normal95_low,C_normal95_high,C_wins,C_losses
llm_decode_memory_cov06,20,36,1346.6197850244369,1801.9103820766427,1347.9703445310367,1790.6404208410938,1347.9703445310367,1790.6404208410938,1354.0307498484237,1815.7943584780382,0.0,0.0,0.0,0,0,-0.4613324159265745,-0.8532578115897964,-0.0694070202633526,0,7
dit_cfg_deterministic,20,96,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1602.0,1602.0,0.0,0.0,0.0,0,0,-4.911591355599215,-4.911591355599215,-4.911591355599215,0,20
dit_cfg_memory_cov06,20,96,1527.3464666807006,1588.0889524594331,1527.3464666807006,1588.0889524594331,1523.0813463930822,1588.0889524594331,1562.6072898489497,1714.719245465918,0.2811545915125328,0.13643789197538272,0.4258712910496829,12,0,-2.2447478577134676,-3.6953023551825614,-0.7941933602443736,6,14
uncertainty_0.1,20,10,169.90039531178414,173.46463823780897,169.90039531178414,173.46463823780897,169.90039531178414,173.46463823780897,169.90039531178414,173.46463823780897,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
uncertainty_0.3,20,10,169.70398748676692,181.1076177756674,169.70398748676692,181.1076177756674,169.70398748676692,181.1076177756674,169.70398748676692,181.1076177756674,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
uncertainty_1.0,20,10,169.0646702216056,205.93031703934875,169.0646702216056,205.93031703934875,169.0646702216056,205.93031703934875,169.0646702216056,205.93031703934875,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
heavy_tail,20,10,174.22067201060852,202.40216706610948,174.22067201060852,202.40216706610948,174.22067201060852,202.40216706610948,174.22067201060852,202.40216706610948,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
cores_4,20,60,705.4850924491482,758.6474126567432,705.4850924491482,758.6474126567432,705.4850924491482,758.6474126567432,710.8536669656322,758.6474126567432,0.0,0.0,0.0,0,0,-0.7068756615186264,-1.75696924131928,0.3432179182820273,0,3
cores_8,20,120,1006.51927362049,1083.682892165285,1006.51927362049,1083.682892165285,990.3300026407929,1098.4448145319343,1079.3305129318212,1196.816957236948,1.7182592985673684,-0.918865579468866,4.355384176603603,13,7,-7.216930621499953,-8.655107303506998,-5.778753939492909,0,20
clusters_2_central,20,50,629.7454950318594,689.6484712870607,629.7454950318594,689.6484712870607,657.088014147801,745.8528067605649,657.088014147801,745.8528067605649,-4.311956996515957,-5.820670771022469,-2.803243222009446,0,20,-4.311956996515955,-5.820670771022466,-2.8032432220094448,0,20
