config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,B_order2,32,5384.821175794393,6051.306652587734,-7.121692403443854,-8.706801484795157,-5.53658332209255
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,B_order0,32,10954.249145835684,12325.245089514572,0.0,0.0,0.0
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,B_order2,32,11018.249145835684,12389.245089514572,-0.587941501746078,-0.604507292478983,-0.5713757110131729
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,B_order0,32,8497.342607085095,9791.245089514572,-0.7333914293027497,-0.8139009598122827,-0.6528818987932167
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,B_order2,32,8530.030107085095,9823.245089514572,-1.1249990748533492,-1.2061446462656467,-1.0438535034410517
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,B_order0,32,8794.342895835685,10162.995089514572,-5.2802414378059215,-5.4694789657958784,-5.0910039098159645
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,B_order2,32,8838.467895835685,10206.995089514572,-5.814088535398983,-6.017428511987174,-5.6107485588107915
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,B_order0,32,8318.42021197394,9673.745089514572,0.0016308709114112806,0.0001022431522966214,0.0031594986705259396
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,B_order2,32,8350.51396197394,9703.745089514572,-0.38983281310887763,-0.41633936681344197,-0.3633262594043133
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,B_order0,32,8318.42021197394,9673.745089514572,0.0016308709114112806,0.0001022431522966214,0.0031594986705259396
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,B_order2,32,8350.51396197394,9703.745089514572,-0.38983281310887763,-0.41633936681344197,-0.3633262594043133
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,B_order0,32,9789.5,9789.5,-6.390262457208064,-6.390262457208064,-6.390262457208064
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,B_order2,32,9825.5,9825.5,-6.781503015812639,-6.781503015812639,-6.781503015812639
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,B_order0,32,9865.507203219218,11757.17088389384,-5.139708355416129,-5.64403693221443,-4.635379778617828
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,B_order2,32,9901.72401429053,11793.17088389384,-5.530036189875908,-6.037129190896683,-5.022943188855133
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,B_order0,32,14307.795621232073,14387.577052367868,-4.002191631086927,-4.070550445125682,-3.9338328170481724
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,B_order2,32,14341.227053572922,14415.500000000002,-4.245282013459819,-4.3390949146950755,-4.151469112224562
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,B_order0,32,14386.208926751273,17398.627198190352,-4.338632637844523,-4.601611171613935,-4.07565410407511
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,B_order2,32,14422.38285989394,17450.37719819035,-4.6010865965347865,-4.860968721955405,-4.3412044711141675
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,B_order0,32,17313.46856008402,21080.56891822291,-3.697136200452123,-3.8523052378362377,-3.541967163068008
qwen35_linear_decode__dma16__service,hardware_sensitivity,qwen35_linear_decode,dma16,service,B_order2,32,17349.46856008402,21116.56891822291,-3.915723389152467,-4.080059044919603,-3.7513877333853314
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,B_order0,32,6193.349123978086,7093.436155867912,0.007427402439739207,0.004545374112019566,0.010309430767458848
qwen35_linear_decode__dma64__service,hardware_sensitivity,qwen35_linear_decode,dma64,service,B_order2,32,6231.452444375326,7129.436155867912,-0.6120952138538017,-0.632968586094365,-0.5912218416132384
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,B_order0,32,11726.680564398996,13607.598969851811,0.0,0.0,0.0
qwen35_linear_decode__sram_one_port__service,hardware_sensitivity,qwen35_linear_decode,sram_one_port,service,B_order2,32,11786.680564398996,13667.598969851811,-0.5153244116523548,-0.5306190719705888,-0.5000297513341208
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,B_order0,32,9718.202660727744,11519.47544460148,-2.7239557871153286,-2.8226374528724603,-2.625274121358197
qwen35_linear_decode__one_operand_slot__service,hardware_sensitivity,qwen35_linear_decode,one_operand_slot,service,B_order2,32,9757.758078893414,11557.47544460148,-3.146746834667925,-3.262562420160751,-3.0309312491750986
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,B_order0,32,8690.61779510992,10521.91311118795,-2.0572997546896175,-3.310656812832579,-0.8039426965466563
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,B_order2,32,8732.96154510992,10563.91311118795,-2.560531294860528,-3.822683134823272,-1.2983794548977843
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,B_order0,32,9865.507203219218,11757.17088389384,-5.139708355416129,-5.64403693221443,-4.635379778617828
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,B_order2,32,9901.72401429053,11793.17088389384,-5.530036189875908,-6.037129190896683,-5.022943188855133
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,B_order0,32,9865.507203219218,11757.17088389384,-5.139708355416129,-5.64403693221443,-4.635379778617828
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,B_order2,32,9901.72401429053,11793.17088389384,-5.530036189875908,-6.037129190896683,-5.022943188855133
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,B_order0,32,12939.0625,12939.0625,0.0,0.0,0.0
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,B_order2,32,12993.0625,12993.0625,-0.4173409008573844,-0.4173409008573844,-0.4173409008573844
flux2_klein4b_double_scaled__two_core__service,main,flux2_klein4b_double_scaled,two_core,service,B_order0,32,13422.340690934532,14767.013251445836,-0.05303209912697548,-0.16494698069763547,0.05888278244368452
flux2_klein4b_double_scaled__two_core__service,main,flux2_klein4b_double_scaled,two_core,service,B_order2,32,13469.191947145124,14807.013251445836,-0.4059267941176954,-0.5264180974926885,-0.2854354907427022
